"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Oct 03 15:01:30 GMT 2022","Mon Oct 03 15:01:31 GMT 2022","738","tests","test_dynamic_steps","","","","test_dynamic_steps_github",""
"broken","Mon Oct 03 15:01:31 GMT 2022","Mon Oct 03 15:01:32 GMT 2022","745","tests","test_purely_selene","","","","test_pure_selene_github",""
"broken","Mon Oct 03 15:01:25 GMT 2022","Mon Oct 03 15:01:30 GMT 2022","4850","tests","test_decorator_steps","","","","test_decorator_steps_github",""
