"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Oct 03 14:53:57 GMT 2022","Mon Oct 03 14:53:57 GMT 2022","754","tests","test_dynamic_steps","","","","test_dynamic_steps_github",""
"broken","Mon Oct 03 14:53:58 GMT 2022","Mon Oct 03 14:53:58 GMT 2022","744","tests","test_purely_selene","","","","test_pure_selene_github",""
"broken","Mon Oct 03 14:53:55 GMT 2022","Mon Oct 03 14:53:57 GMT 2022","1946","tests","test_decorator_steps","","","","test_decorator_steps_github",""
